Academic,Subject(s),Papers
Academic 316,"['Social Work and Social Policy', 'Engineering', 'Clinical Medicine']",[]
Academic 317,"['Psychology, Psychiatry and Neuroscience']","['Paper 900', 'Paper 2510', 'Paper 58', 'Paper 2906', 'Paper 2032']"
Academic 318,['Business and Management Studies'],"['Paper 4384', 'Paper 590', 'Paper 1156', 'Paper 4261']"
Academic 319,['Clinical Medicine'],['Paper 649']
Academic 320,['Education'],"['Paper 3442', 'Paper 771', 'Paper 71', 'Paper 678', 'Paper 3244']"
Academic 321,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 1399', 'Paper 2314', 'Paper 553', 'Paper 746']"
Academic 322,['Anthropology and Development Studies'],['Paper 1422']
Academic 323,['Archaeology'],"['Paper 3959', 'Paper 1102']"
Academic 324,['Physics'],[]
Academic 325,"['Psychology, Psychiatry and Neuroscience']","['Paper 128', 'Paper 2004', 'Paper 2419', 'Paper 1522', 'Paper 3108']"
Academic 326,['Economics and Econometrics'],"['Paper 4373', 'Paper 4800', 'Paper 4032']"
Academic 327,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 89', 'Paper 2358', 'Paper 2571', 'Paper 818', 'Paper 3697']"
Academic 328,"['Art and Design: History, Practice and Theory']","['Paper 4795', 'Paper 1431', 'Paper 1301', 'Paper 4440']"
Academic 329,['Theology and Religious Studies'],"['Paper 171', 'Paper 1599', 'Paper 4627', 'Paper 3661', 'Paper 748']"
Academic 330,"['Agriculture, Food and Veterinary Sciences', 'Sport and Exercise Sciences, Leisure and Tourism']",[]
Academic 331,['Area Studies'],[]
Academic 332,['Biological Sciences'],"['Paper 3425', 'Paper 1966', 'Paper 3770', 'Paper 1362']"
Academic 333,['Modern Languages and Linguistics'],['Paper 127']
Academic 334,['Law'],"['Paper 1871', 'Paper 663', 'Paper 2907']"
Academic 335,['English Language and Literature'],['Paper 1778']
Academic 336,"['Architecture, Built Environment and Planning']",['Paper 4240']
Academic 337,['Geography and Environmental Studies'],"['Paper 343', 'Paper 2078', 'Paper 1752', 'Paper 1697']"
Academic 338,"['Area Studies', 'Anthropology and Development Studies', 'Agriculture, Food and Veterinary Sciences']",[]
Academic 339,['Education'],"['Paper 1797', 'Paper 1570', 'Paper 270', 'Paper 3068', 'Paper 3141']"
Academic 340,['Engineering'],"['Paper 865', 'Paper 1580']"
Academic 341,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 2976', 'Paper 1299', 'Paper 338', 'Paper 1204', 'Paper 1490']"
Academic 342,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 1458', 'Paper 1557']"
Academic 343,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies', 'Economics and Econometrics', 'Communication, Cultural and Media Studies, Library and Information Management']",[]
Academic 344,"['Theology and Religious Studies', 'Art and Design: History, Practice and Theory', 'Politics and International Studies']",[]
Academic 345,['Biological Sciences'],"['Paper 522', 'Paper 1464', 'Paper 928']"
Academic 346,['Biological Sciences'],['Paper 2502']
Academic 347,['Theology and Religious Studies'],"['Paper 2380', 'Paper 1279', 'Paper 1144', 'Paper 1914', 'Paper 1378']"
Academic 348,['History'],"['Paper 4975', 'Paper 2771', 'Paper 3984', 'Paper 177']"
Academic 349,"['Psychology, Psychiatry and Neuroscience']","['Paper 3554', 'Paper 2782', 'Paper 73', 'Paper 2800', 'Paper 3034']"
Academic 350,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 2297', 'Paper 3597', 'Paper 1308', 'Paper 248']"
Academic 351,['Anthropology and Development Studies'],['Paper 3200']
Academic 352,['Computer Science and Informatics'],"['Paper 3793', 'Paper 3271', 'Paper 1621']"
Academic 353,['Computer Science and Informatics'],"['Paper 3760', 'Paper 74', 'Paper 2445']"
Academic 354,['Economics and Econometrics'],"['Paper 3841', 'Paper 116', 'Paper 4244', 'Paper 3129']"
Academic 355,['Law'],"['Paper 1935', 'Paper 1463', 'Paper 1206']"
Academic 356,['Geography and Environmental Studies'],"['Paper 2123', 'Paper 2531', 'Paper 879']"
Academic 357,['Sociology'],"['Paper 347', 'Paper 1969', 'Paper 3332', 'Paper 1693']"
Academic 358,['Earth Systems and Environmental Sciences'],[]
Academic 359,['Politics and International Studies'],['Paper 3025']
Academic 360,"['Art and Design: History, Practice and Theory']","['Paper 2466', 'Paper 2895', 'Paper 1895', 'Paper 2471', 'Paper 1675']"
Academic 361,['Archaeology'],"['Paper 680', 'Paper 1590', 'Paper 4801', 'Paper 3203', 'Paper 234']"
Academic 362,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 404', 'Paper 1004']"
Academic 363,['Modern Languages and Linguistics'],"['Paper 3300', 'Paper 3198', 'Paper 2963', 'Paper 3715', 'Paper 810']"
Academic 364,['Earth Systems and Environmental Sciences'],"['Paper 2129', 'Paper 423']"
Academic 365,['Social Work and Social Policy'],"['Paper 4632', 'Paper 3636', 'Paper 618', 'Paper 2912', 'Paper 3320']"
Academic 366,['Philosophy'],"['Paper 2315', 'Paper 3182', 'Paper 3555', 'Paper 1426']"
Academic 367,"['Agriculture, Food and Veterinary Sciences']","['Paper 3247', 'Paper 144', 'Paper 1249', 'Paper 697']"
Academic 368,['Physics'],[]
Academic 369,['Geography and Environmental Studies'],['Paper 3317']
Academic 370,['Geography and Environmental Studies'],"['Paper 4446', 'Paper 4469', 'Paper 4154', 'Paper 855', 'Paper 1224']"
Academic 371,['Law'],"['Paper 1887', 'Paper 4805', 'Paper 1501', 'Paper 2002']"
Academic 372,['Sociology'],"['Paper 1851', 'Paper 960', 'Paper 4642', 'Paper 3879', 'Paper 4319']"
Academic 373,['Politics and International Studies'],['Paper 2024']
Academic 374,['Physics'],[]
Academic 375,"['Psychology, Psychiatry and Neuroscience']","['Paper 3753', 'Paper 1713', 'Paper 1207', 'Paper 1292', 'Paper 1934']"
Academic 376,['Chemistry'],['Paper 1812']
Academic 377,['Biological Sciences'],['Paper 3115']
Academic 378,"['Art and Design: History, Practice and Theory']","['Paper 4967', 'Paper 2114', 'Paper 67', 'Paper 4524']"
Academic 379,"['Art and Design: History, Practice and Theory', 'Area Studies']",[]
Academic 380,['Theology and Religious Studies'],"['Paper 3624', 'Paper 4797', 'Paper 4269', 'Paper 4883', 'Paper 664']"
Academic 381,['Engineering'],"['Paper 4056', 'Paper 829']"
Academic 382,"['Art and Design: History, Practice and Theory', 'Public Health, Health Services and Primary Care', 'Archaeology']",[]
Academic 383,['Philosophy'],"['Paper 3264', 'Paper 1001']"
Academic 384,['Law'],"['Paper 68', 'Paper 1597', 'Paper 4952']"
Academic 385,['Economics and Econometrics'],"['Paper 1845', 'Paper 1483']"
Academic 386,['Politics and International Studies'],"['Paper 4653', 'Paper 3298']"
Academic 387,['Geography and Environmental Studies'],"['Paper 2692', 'Paper 784', 'Paper 2095']"
Academic 388,"['Public Health, Health Services and Primary Care']","['Paper 2744', 'Paper 1189']"
Academic 389,['Earth Systems and Environmental Sciences'],"['Paper 2519', 'Paper 2440', 'Paper 25']"
Academic 390,['Social Work and Social Policy'],"['Paper 1330', 'Paper 1091', 'Paper 3705', 'Paper 2790']"
Academic 391,['Sociology'],"['Paper 2487', 'Paper 3289', 'Paper 1240', 'Paper 2954', 'Paper 1054']"
Academic 392,"['Architecture, Built Environment and Planning']","['Paper 2077', 'Paper 987']"
Academic 393,['Modern Languages and Linguistics'],"['Paper 1298', 'Paper 653', 'Paper 3144', 'Paper 390']"
Academic 394,['Physics'],[]
Academic 395,['Archaeology'],"['Paper 2849', 'Paper 1187', 'Paper 14', 'Paper 4432', 'Paper 3965']"
Academic 396,"['Public Health, Health Services and Primary Care']","['Paper 3124', 'Paper 1596']"
Academic 397,"['Art and Design: History, Practice and Theory']","['Paper 465', 'Paper 4602', 'Paper 1830', 'Paper 3996', 'Paper 4869']"
Academic 398,['Biological Sciences'],[]
Academic 399,['Area Studies'],"['Paper 452', 'Paper 1098']"
Academic 400,['Law'],"['Paper 43', 'Paper 1690']"
Academic 401,['Clinical Medicine'],"['Paper 1818', 'Paper 79', 'Paper 114']"
Academic 402,"['Public Health, Health Services and Primary Care']",['Paper 1953']
Academic 403,['History'],"['Paper 1120', 'Paper 81', 'Paper 199', 'Paper 170', 'Paper 545']"
Academic 404,['History'],"['Paper 3122', 'Paper 359', 'Paper 3718', 'Paper 1604', 'Paper 1435']"
Academic 405,['Politics and International Studies'],"['Paper 3531', 'Paper 2113', 'Paper 4734', 'Paper 2792', 'Paper 1540']"
Academic 406,['Sociology'],"['Paper 4039', 'Paper 2584', 'Paper 3280', 'Paper 2835']"
Academic 407,['History'],"['Paper 2427', 'Paper 888', 'Paper 808', 'Paper 340', 'Paper 1045']"
Academic 408,"['Art and Design: History, Practice and Theory']","['Paper 3005', 'Paper 1082', 'Paper 1885']"
Academic 409,['English Language and Literature'],"['Paper 11', 'Paper 28', 'Paper 1326', 'Paper 105']"
Academic 410,['English Language and Literature'],"['Paper 2856', 'Paper 2137', 'Paper 2417']"
Academic 411,['Sociology'],"['Paper 750', 'Paper 787', 'Paper 1614']"
Academic 412,"['Psychology, Psychiatry and Neuroscience']","['Paper 1756', 'Paper 131', 'Paper 141', 'Paper 2241', 'Paper 2992']"
Academic 413,['Area Studies'],[]
Academic 414,['Earth Systems and Environmental Sciences'],"['Paper 673', 'Paper 1321', 'Paper 763']"
Academic 415,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 1070', 'Paper 1819', 'Paper 3157', 'Paper 4867', 'Paper 2494']"
Academic 416,['Computer Science and Informatics'],[]
Academic 417,['Clinical Medicine'],[]
Academic 418,['Social Work and Social Policy'],"['Paper 2605', 'Paper 908', 'Paper 570', 'Paper 2230', 'Paper 4818']"
Academic 419,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 302', 'Paper 4574', 'Paper 1772', 'Paper 2499', 'Paper 269']"
Academic 420,"['Public Health, Health Services and Primary Care']",['Paper 2354']
Academic 421,['Politics and International Studies'],['Paper 253']
Academic 422,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies', 'English Language and Literature', 'Area Studies']",[]
Academic 423,"['Geography and Environmental Studies', 'Clinical Medicine']",[]
Academic 424,['Mathematical Sciences'],['Paper 1275']
Academic 425,"['Anthropology and Development Studies', 'Agriculture, Food and Veterinary Sciences']",[]
Academic 426,['Sociology'],"['Paper 2038', 'Paper 4553']"
Academic 427,['Social Work and Social Policy'],"['Paper 451', 'Paper 2282']"
Academic 428,['Biological Sciences'],"['Paper 2665', 'Paper 2362']"
Academic 429,['Philosophy'],"['Paper 3278', 'Paper 4027', 'Paper 2294']"
Academic 430,"['Public Health, Health Services and Primary Care']",['Paper 1960']
Academic 431,"['Geography and Environmental Studies', 'Earth Systems and Environmental Sciences', 'Mathematical Sciences', 'Education']",[]
Academic 432,"['Art and Design: History, Practice and Theory']","['Paper 4382', 'Paper 326', 'Paper 1208', 'Paper 4922', 'Paper 1278']"
Academic 433,['Law'],"['Paper 4265', 'Paper 188', 'Paper 2859', 'Paper 4873', 'Paper 91']"
Academic 434,['Anthropology and Development Studies'],['Paper 1891']
Academic 435,['Archaeology'],['Paper 1628']
Academic 436,"['Agriculture, Food and Veterinary Sciences']","['Paper 4926', 'Paper 806', 'Paper 2109']"
Academic 437,['Theology and Religious Studies'],"['Paper 1175', 'Paper 3021', 'Paper 584', 'Paper 1620', 'Paper 1698']"
Academic 438,['Mathematical Sciences'],"['Paper 1815', 'Paper 2832', 'Paper 2055']"
Academic 439,['Chemistry'],['Paper 425']
Academic 440,"['Modern Languages and Linguistics', 'Psychology, Psychiatry and Neuroscience']",[]
Academic 441,"['Allied Health Professions, Dentistry, Nursing and Pharmacy', 'Social Work and Social Policy']",[]
Academic 442,['Area Studies'],['Paper 241']
Academic 443,"['Communication, Cultural and Media Studies, Library and Information Management']","['Paper 3792', 'Paper 1896', 'Paper 1074', 'Paper 1750', 'Paper 4659']"
Academic 444,['Engineering'],"['Paper 600', 'Paper 393', 'Paper 456']"
Academic 445,['Biological Sciences'],['Paper 2195']
Academic 446,['Chemistry'],['Paper 2169']
Academic 447,['Chemistry'],"['Paper 2902', 'Paper 2103']"
Academic 448,['Philosophy'],"['Paper 4654', 'Paper 1369', 'Paper 4216', 'Paper 4359']"
Academic 449,['Biological Sciences'],['Paper 497']
Academic 450,['Law'],"['Paper 1315', 'Paper 4335', 'Paper 2404', 'Paper 173', 'Paper 3242']"
Academic 451,"['Psychology, Psychiatry and Neuroscience']","['Paper 1745', 'Paper 1451']"
Academic 452,['Engineering'],"['Paper 1605', 'Paper 1055']"
Academic 453,['Mathematical Sciences'],"['Paper 2876', 'Paper 4749', 'Paper 2909']"
Academic 454,"['Psychology, Psychiatry and Neuroscience']","['Paper 1562', 'Paper 1094', 'Paper 3337', 'Paper 3432', 'Paper 3957']"
Academic 455,['Area Studies'],[]
Academic 456,['Earth Systems and Environmental Sciences'],['Paper 1835']
Academic 457,"['Social Work and Social Policy', 'Area Studies']",[]
Academic 458,"['Agriculture, Food and Veterinary Sciences', 'Allied Health Professions, Dentistry, Nursing and Pharmacy']",[]
Academic 459,['Philosophy'],"['Paper 2626', 'Paper 1869', 'Paper 3611', 'Paper 4389', 'Paper 412']"
Academic 460,['Philosophy'],"['Paper 1346', 'Paper 1428', 'Paper 2831', 'Paper 4076', 'Paper 2292']"
Academic 461,['Education'],"['Paper 2938', 'Paper 194', 'Paper 4812', 'Paper 1484', 'Paper 3354']"
Academic 462,['Archaeology'],"['Paper 630', 'Paper 111', 'Paper 2183']"
Academic 463,"['Communication, Cultural and Media Studies, Library and Information Management']",['Paper 93']
Academic 464,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 2980', 'Paper 506', 'Paper 164']"
Academic 465,['Mathematical Sciences'],"['Paper 3040', 'Paper 2506', 'Paper 3777']"
Academic 466,"['Sport and Exercise Sciences, Leisure and Tourism']","['Paper 4660', 'Paper 1603']"
Academic 467,['Modern Languages and Linguistics'],"['Paper 2211', 'Paper 1440', 'Paper 3451', 'Paper 2635']"
Academic 468,"['Computer Science and Informatics', 'Modern Languages and Linguistics', 'Theology and Religious Studies']",[]
Academic 469,['Mathematical Sciences'],"['Paper 1775', 'Paper 1843', 'Paper 3375']"
Academic 470,['Chemistry'],"['Paper 3008', 'Paper 876']"
Academic 471,['Law'],"['Paper 4522', 'Paper 180']"
Academic 472,['Archaeology'],"['Paper 4902', 'Paper 1448', 'Paper 4503']"
Academic 473,['Mathematical Sciences'],"['Paper 1030', 'Paper 2480']"
Academic 474,['Anthropology and Development Studies'],"['Paper 3270', 'Paper 1841']"
Academic 475,['Politics and International Studies'],['Paper 3156']
Academic 476,"['Architecture, Built Environment and Planning']","['Paper 2283', 'Paper 1452', 'Paper 3547']"
Academic 477,['Politics and International Studies'],"['Paper 690', 'Paper 880', 'Paper 518', 'Paper 2742', 'Paper 2259']"
Academic 478,"['Economics and Econometrics', 'Public Health, Health Services and Primary Care', 'Economics and Econometrics', 'Education']",[]
Academic 479,['Classics'],[]
Academic 480,['Law'],"['Paper 1119', 'Paper 567', 'Paper 1432', 'Paper 4572']"
Academic 481,"['Music, Drama, Dance, Performing Arts, Film and Screen Studies']","['Paper 24', 'Paper 730', 'Paper 4885', 'Paper 2657']"
Academic 482,['Area Studies'],['Paper 2316']
Academic 483,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 3235', 'Paper 3813', 'Paper 192', 'Paper 2729', 'Paper 3596']"
Academic 484,['Education'],"['Paper 3077', 'Paper 2631', 'Paper 946', 'Paper 1667', 'Paper 409']"
Academic 485,['Archaeology'],"['Paper 3012', 'Paper 3963']"
Academic 486,['Anthropology and Development Studies'],[]
Academic 487,['Geography and Environmental Studies'],"['Paper 4341', 'Paper 87', 'Paper 2638', 'Paper 2643']"
Academic 488,['Anthropology and Development Studies'],"['Paper 666', 'Paper 583', 'Paper 629']"
Academic 489,['Social Work and Social Policy'],"['Paper 1373', 'Paper 659']"
Academic 490,['Chemistry'],"['Paper 548', 'Paper 2939', 'Paper 2637']"
Academic 491,"['Agriculture, Food and Veterinary Sciences']",['Paper 3617']
Academic 492,['Area Studies'],[]
Academic 493,['Modern Languages and Linguistics'],"['Paper 3815', 'Paper 3526']"
Academic 494,"['Psychology, Psychiatry and Neuroscience']","['Paper 2962', 'Paper 3386', 'Paper 3973', 'Paper 1707', 'Paper 953']"
Academic 495,"['Public Health, Health Services and Primary Care']","['Paper 3939', 'Paper 3829', 'Paper 2793', 'Paper 2240', 'Paper 2817']"
Academic 496,"['Art and Design: History, Practice and Theory']","['Paper 420', 'Paper 2262', 'Paper 334']"
Academic 497,"['Allied Health Professions, Dentistry, Nursing and Pharmacy']","['Paper 486', 'Paper 3653']"
Academic 498,['Sociology'],"['Paper 1729', 'Paper 2632', 'Paper 4028', 'Paper 4066']"
Academic 499,"['Agriculture, Food and Veterinary Sciences']","['Paper 4936', 'Paper 791', 'Paper 4525']"
