institution_id,institution_name,uoa_id,uoa_name,submission_fte,output_count,aggregate_ref_score
10007848,University of Chester,24,"Sport and Exercise Sciences, Leisure and Tourism",12.6,85,2.51
10007848,University of Chester,25,Area Studies,7,100,2.76
10007848,University of Chester,27,English Language and Literature,19.6,85,2.78
10007848,University of Chester,28,History,11,90,2.77
10007848,University of Chester,31,Theology and Religious Studies,14.5,95,3.18
10007848,University of Chester,32,"Art and Design: History, Practice and Theory",9.1,45,2.73
10007848,University of Chester,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",10,70,2.46
10007137,The University of Chichester,4,"Psychology, Psychiatry and Neuroscience",7,95,2.08
10007137,The University of Chichester,12,Engineering,6,65,2.27
10007137,The University of Chichester,17,Business and Management Studies,7,45,1.75
10007137,The University of Chichester,20,Social Work and Social Policy,2,20,1.81
10007137,The University of Chichester,23,Education,10.4,30,1.62
10007137,The University of Chichester,24,"Sport and Exercise Sciences, Leisure and Tourism",24.15,45,2.93
10007137,The University of Chichester,27,English Language and Literature,8.67,75,2.89
10007137,The University of Chichester,28,History,8.15,100,2.85
10007137,The University of Chichester,31,Theology and Religious Studies,3,100,2.2
10007137,The University of Chichester,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",15.9,45,2.25
10001478,"City, University of London",3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",76.79,55,3.37
10001478,"City, University of London",4,"Psychology, Psychiatry and Neuroscience",34.9,90,2.89
10001478,"City, University of London",10,Mathematical Sciences,15.6,95,3.3
10001478,"City, University of London",11,Computer Science and Informatics,36.2,100,3.26
10001478,"City, University of London",12,Engineering,48.5,95,2.89
10001478,"City, University of London",16,Economics and Econometrics,27.2,90,3
10001478,"City, University of London",17,Business and Management Studies,124.55,85,3.51
10001478,"City, University of London",18,Law,30.65,50,2.89
10001478,"City, University of London",19,Politics and International Studies,27.2,100,3.11
10001478,"City, University of London",21,Sociology,37.8,85,3.43
10001478,"City, University of London",27,English Language and Literature,7,90,3.13
10001478,"City, University of London",33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",11.8,100,3.52
10001478,"City, University of London",34,"Communication, Cultural and Media Studies, Library and Information Management",17.5,75,3.14
10007761,Courtauld Institute of Art,32,"Art and Design: History, Practice and Theory",35.85,100,3.43
10001726,Coventry University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",34,15,3.25
10001726,Coventry University,4,"Psychology, Psychiatry and Neuroscience",10.2,10,3.12
10001726,Coventry University,10,Mathematical Sciences,17,75,3.07
10001726,Coventry University,12,Engineering,120.41,40,2.74
10001726,Coventry University,14,Geography and Environmental Studies,54.2,75,2.55
10001726,Coventry University,17,Business and Management Studies,77,15,2.88
10001726,Coventry University,19,Politics and International Studies,49.81,65,2.94
10001726,Coventry University,24,"Sport and Exercise Sciences, Leisure and Tourism",19.5,95,2.77
10001726,Coventry University,32,"Art and Design: History, Practice and Theory",46.21,50,3.27
10001726,Coventry University,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",23.6,60,3.16
10007822,Cranfield University,6,"Agriculture, Food and Veterinary Sciences",38.21,100,3.19
10007822,Cranfield University,12,Engineering,269.74,100,3.17
10007822,Cranfield University,17,Business and Management Studies,40.1,100,3.23
10007842,The University of Cumbria,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",11.1,15,2.6
10007842,The University of Cumbria,14,Geography and Environmental Studies,10.6,100,2.42
10007842,The University of Cumbria,17,Business and Management Studies,7.95,25,2.1
10007842,The University of Cumbria,20,Social Work and Social Policy,11.1,70,2
10007842,The University of Cumbria,23,Education,9.8,15,2.14
10007842,The University of Cumbria,32,"Art and Design: History, Practice and Theory",7.3,55,2.58
10001883,De Montfort University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",60.1,30,2.64
10001883,De Montfort University,4,"Psychology, Psychiatry and Neuroscience",42.4,60,2.43
10001883,De Montfort University,11,Computer Science and Informatics,53.3,65,2.57
10001883,De Montfort University,12,Engineering,27,65,2.72
10001883,De Montfort University,13,"Architecture, Built Environment and Planning",31.2,70,3.03
10001883,De Montfort University,17,Business and Management Studies,109.5,50,2.45
10001883,De Montfort University,18,Law,23.4,45,2.12
10001883,De Montfort University,20,Social Work and Social Policy,33.59,45,3.18
10001883,De Montfort University,27,English Language and Literature,17.5,60,3.29
10001883,De Montfort University,28,History,15.3,90,2.98
10001883,De Montfort University,32,"Art and Design: History, Practice and Theory",21.4,20,2.9
10001883,De Montfort University,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",34.85,50,3.05
10001883,De Montfort University,34,"Communication, Cultural and Media Studies, Library and Information Management",16,65,2.66
10007851,University of Derby,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",45.11,20,2.59
10007851,University of Derby,4,"Psychology, Psychiatry and Neuroscience",30.7,55,2.31
10007851,University of Derby,7,Earth Systems and Environmental Sciences,19.6,55,2.82
10007851,University of Derby,11,Computer Science and Informatics,17,50,2.48
10007851,University of Derby,12,Engineering,19.8,25,2.38
10007851,University of Derby,17,Business and Management Studies,33.9,30,2.37
10007851,University of Derby,20,Social Work and Social Policy,32.8,50,2.59
10007851,University of Derby,23,Education,21.3,25,2.71
10007851,University of Derby,32,"Art and Design: History, Practice and Theory",16.4,40,2.59
10007851,University of Derby,34,"Communication, Cultural and Media Studies, Library and Information Management",27.6,45,2.48
10007852,University of Dundee,1,Clinical Medicine,64.45,100,3.38
10007852,University of Dundee,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",33.6,100,3.39
10007852,University of Dundee,4,"Psychology, Psychiatry and Neuroscience",19.15,100,3.06
10007852,University of Dundee,5,Biological Sciences,72.3,100,3.7
10007852,University of Dundee,10,Mathematical Sciences,17,100,3.39
10007852,University of Dundee,11,Computer Science and Informatics,13.5,100,3.38
10007852,University of Dundee,12,Engineering,45.8,100,3.26
10007852,University of Dundee,14,Geography and Environmental Studies,23,100,3.19
10007852,University of Dundee,17,Business and Management Studies,28.6,100,2.79
10007852,University of Dundee,18,Law,26.8,100,2.75
10007852,University of Dundee,20,Social Work and Social Policy,11.2,100,2.84
10007852,University of Dundee,23,Education,18,100,2.9
10007852,University of Dundee,27,English Language and Literature,19.5,100,3.1
10007852,University of Dundee,28,History,16.7,100,2.61
10007852,University of Dundee,30,Philosophy,6.2,100,2.42
10007852,University of Dundee,32,"Art and Design: History, Practice and Theory",45.45,100,3.29
10007143,University of Durham,4,"Psychology, Psychiatry and Neuroscience",34,100,3.22
10007143,University of Durham,5,Biological Sciences,49.2,100,3.14
10007143,University of Durham,7,Earth Systems and Environmental Sciences,34.86,100,3.43
10007143,University of Durham,8,Chemistry,44.2,100,3.38
10007143,University of Durham,9,Physics,84.2,100,3.39
10007143,University of Durham,10,Mathematical Sciences,73.7,100,3.29
10007143,University of Durham,11,Computer Science and Informatics,26.2,100,3.44
10007143,University of Durham,12,Engineering,45.6,100,3.35
10007143,University of Durham,14,Geography and Environmental Studies,67.8,100,3.55
10007143,University of Durham,15,Archaeology,30,100,3.59
10007143,University of Durham,17,Business and Management Studies,122.96,100,3.32
10007143,University of Durham,18,Law,53.97,100,3.38
10007143,University of Durham,19,Politics and International Studies,30,100,3.1
10007143,University of Durham,21,Sociology,30.6,100,3.23
10007143,University of Durham,22,Anthropology and Development Studies,33.6,100,3.29
10007143,University of Durham,23,Education,35.15,100,3.57
10007143,University of Durham,24,"Sport and Exercise Sciences, Leisure and Tourism",12,100,3.48
10007143,University of Durham,26,Modern Languages and Linguistics,54.3,100,3.11
10007143,University of Durham,27,English Language and Literature,48.81,100,3.34
10007143,University of Durham,28,History,54.6,100,3.37
10007143,University of Durham,29,Classics,20,100,3.37
10007143,University of Durham,30,Philosophy,24.9,100,3.15
10007143,University of Durham,31,Theology and Religious Studies,37.2,100,3.33
10007143,University of Durham,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",16.95,100,3.38
10007789,The University of East Anglia,1,Clinical Medicine,30.6,100,3.26
10007789,The University of East Anglia,2,"Public Health, Health Services and Primary Care",18.6,100,3.37
10007789,The University of East Anglia,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",47.37,100,3.34
10007789,The University of East Anglia,4,"Psychology, Psychiatry and Neuroscience",30.7,100,3.45
10007789,The University of East Anglia,5,Biological Sciences,73.4,100,3.36
10007789,The University of East Anglia,6,"Agriculture, Food and Veterinary Sciences",19.4,100,3.55
10007789,The University of East Anglia,7,Earth Systems and Environmental Sciences,65.43,100,3.61
10007789,The University of East Anglia,8,Chemistry,34.2,100,3.34
10007789,The University of East Anglia,10,Mathematical Sciences,19.27,100,3.22
10007789,The University of East Anglia,11,Computer Science and Informatics,28.3,100,3.17
10007789,The University of East Anglia,16,Economics and Econometrics,28.2,100,3.23
10007789,The University of East Anglia,17,Business and Management Studies,57.8,100,3.39
10007789,The University of East Anglia,18,Law,23.4,100,2.86
10007789,The University of East Anglia,19,Politics and International Studies,18.6,100,3.34
10007789,The University of East Anglia,20,Social Work and Social Policy,8.9,100,3.53
10007789,The University of East Anglia,22,Anthropology and Development Studies,32.2,100,3.55
10007789,The University of East Anglia,23,Education,15.2,100,3.02
10007789,The University of East Anglia,25,Area Studies,42,100,3.45
10007789,The University of East Anglia,27,English Language and Literature,48,100,3.49
10007789,The University of East Anglia,28,History,39.7,100,3.52
10007789,The University of East Anglia,30,Philosophy,10.2,100,2.99
10007789,The University of East Anglia,32,"Art and Design: History, Practice and Theory",18.8,100,3.52
10007789,The University of East Anglia,34,"Communication, Cultural and Media Studies, Library and Information Management",21.8,100,3.29
10007144,University of East London,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",27.5,30,2.76
10007144,University of East London,4,"Psychology, Psychiatry and Neuroscience",25.17,35,2.61
10007144,University of East London,11,Computer Science and Informatics,12.2,60,2.8
10007144,University of East London,12,Engineering,15,50,2.56
10007144,University of East London,13,"Architecture, Built Environment and Planning",14.6,50,2.48
10007144,University of East London,17,Business and Management Studies,14.2,30,2.3
10007144,University of East London,18,Law,11.7,45,2.51
10007144,University of East London,20,Social Work and Social Policy,9.4,50,3.01
10007144,University of East London,21,Sociology,23.6,85,2.59
10007144,University of East London,23,Education,14,20,2.3
10007144,University of East London,32,"Art and Design: History, Practice and Theory",11.3,35,2.33
10007144,University of East London,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",13,50,2.29
10007144,University of East London,34,"Communication, Cultural and Media Studies, Library and Information Management",16.8,55,2.85
10007823,Edge Hill University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",34.1,20,2.76
10007823,Edge Hill University,4,"Psychology, Psychiatry and Neuroscience",23.81,90,2.45
10007823,Edge Hill University,5,Biological Sciences,9.5,90,2.45
10007823,Edge Hill University,11,Computer Science and Informatics,19,95,2.5
10007823,Edge Hill University,14,Geography and Environmental Studies,10,85,2.19
10007823,Edge Hill University,17,Business and Management Studies,17,55,2.56
10007823,Edge Hill University,18,Law,18,65,2.94
10007823,Edge Hill University,20,Social Work and Social Policy,17.2,90,2.48
10007823,Edge Hill University,23,Education,25.2,20,2.48
10007823,Edge Hill University,24,"Sport and Exercise Sciences, Leisure and Tourism",34,85,2.91
10007823,Edge Hill University,27,English Language and Literature,19.4,95,2.92
10007823,Edge Hill University,28,History,13,100,2.69
10007823,Edge Hill University,34,"Communication, Cultural and Media Studies, Library and Information Management",19.2,50,2.94
10007790,University of Edinburgh,1,Clinical Medicine,357.12,100,3.48
10007790,University of Edinburgh,4,"Psychology, Psychiatry and Neuroscience",189.21,100,3.64
10007790,University of Edinburgh,5,Biological Sciences,138.6,100,3.54
10007790,University of Edinburgh,6,"Agriculture, Food and Veterinary Sciences",151.84,100,3.22
10007790,University of Edinburgh,7,Earth Systems and Environmental Sciences,123.3,100,3.47
10007790,University of Edinburgh,8,Chemistry,48,100,3.55
10007790,University of Edinburgh,9,Physics,118.04,100,3.49
10007790,University of Edinburgh,10,Mathematical Sciences,90.55,100,3.52
10007790,University of Edinburgh,11,Computer Science and Informatics,144.04,100,3.73
10007790,University of Edinburgh,12,Engineering,146.25,100,3.38
10007790,University of Edinburgh,13,"Architecture, Built Environment and Planning",42.4,100,3.38
10007790,University of Edinburgh,16,Economics and Econometrics,31.6,100,3.29
10007790,University of Edinburgh,17,Business and Management Studies,101.75,100,3.38
10007790,University of Edinburgh,18,Law,74.1,100,3.42
10007790,University of Edinburgh,19,Politics and International Studies,50.65,100,3.5
10007790,University of Edinburgh,20,Social Work and Social Policy,84.5,100,3.32
10007790,University of Edinburgh,21,Sociology,76.51,100,3.24
10007790,University of Edinburgh,22,Anthropology and Development Studies,63.5,100,3.23
10007790,University of Edinburgh,23,Education,68.8,100,3.14
10007790,University of Edinburgh,24,"Sport and Exercise Sciences, Leisure and Tourism",35.12,100,3.3
10007790,University of Edinburgh,26,Modern Languages and Linguistics,92.8,100,3.13
10007790,University of Edinburgh,27,English Language and Literature,46.7,100,3.6
10007790,University of Edinburgh,28,History,75.15,100,3.26
10007790,University of Edinburgh,29,Classics,40.6,100,3.27
10007790,University of Edinburgh,30,Philosophy,34.3,100,3.21
10007790,University of Edinburgh,31,Theology and Religious Studies,33.5,100,3.24
10007790,University of Edinburgh,32,"Art and Design: History, Practice and Theory",81.15,100,3.25
10007790,University of Edinburgh,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",22.9,100,3.39
10007772,Edinburgh Napier University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",46.41,40,3.08
10007772,Edinburgh Napier University,7,Earth Systems and Environmental Sciences,12,65,2.84
10007772,Edinburgh Napier University,11,Computer Science and Informatics,39.4,75,3.13
10007772,Edinburgh Napier University,12,Engineering,27.4,65,2.71
10007772,Edinburgh Napier University,13,"Architecture, Built Environment and Planning",12.6,65,2.96
10007772,Edinburgh Napier University,17,Business and Management Studies,26.2,35,2.53
10007772,Edinburgh Napier University,18,Law,5.8,60,2.15
10007772,Edinburgh Napier University,20,Social Work and Social Policy,9.75,60,2.99
10007772,Edinburgh Napier University,24,"Sport and Exercise Sciences, Leisure and Tourism",26.4,60,2.76
10007772,Edinburgh Napier University,27,English Language and Literature,11.8,85,3.01
10007772,Edinburgh Napier University,32,"Art and Design: History, Practice and Theory",8.9,35,2.63
10007772,Edinburgh Napier University,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",7,60,1.95
10007772,Edinburgh Napier University,34,"Communication, Cultural and Media Studies, Library and Information Management",17.4,65,3.03
10007791,The University of Essex,2,"Public Health, Health Services and Primary Care",11.9,100,2.9
10007791,The University of Essex,4,"Psychology, Psychiatry and Neuroscience",50.7,100,3.32
10007791,The University of Essex,5,Biological Sciences,45.6,100,3.07
10007791,The University of Essex,10,Mathematical Sciences,31,100,2.96
10007791,The University of Essex,11,Computer Science and Informatics,73,100,3.32
10007791,The University of Essex,16,Economics and Econometrics,52.15,100,3.44
10007791,The University of Essex,17,Business and Management Studies,118.76,100,3.04
10007791,The University of Essex,18,Law,81.9,100,3.31
10007791,The University of Essex,19,Politics and International Studies,54,100,3.46
10007791,The University of Essex,21,Sociology,62.41,100,3.4
10007791,The University of Essex,24,"Sport and Exercise Sciences, Leisure and Tourism",24.1,100,3
10007791,The University of Essex,26,Modern Languages and Linguistics,19.8,100,3.46
10007791,The University of Essex,27,English Language and Literature,24,100,3.23
10007791,The University of Essex,28,History,17.5,100,3.11
10007791,The University of Essex,30,Philosophy,14,100,3.2
10007791,The University of Essex,32,"Art and Design: History, Practice and Theory",9,100,3.4
10007791,The University of Essex,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",12,100,2.84
10007792,University of Exeter,1,Clinical Medicine,69.61,100,3.38
10007792,University of Exeter,2,"Public Health, Health Services and Primary Care",59.92,100,3.24
10007792,University of Exeter,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",12.5,100,3.34
10007792,University of Exeter,4,"Psychology, Psychiatry and Neuroscience",48.3,100,3.44
10007792,University of Exeter,5,Biological Sciences,99.05,100,3.31
10007792,University of Exeter,7,Earth Systems and Environmental Sciences,78.1,100,3.49
10007792,University of Exeter,9,Physics,49.39,100,3.41
10007792,University of Exeter,10,Mathematical Sciences,48,100,3.36
10007792,University of Exeter,11,Computer Science and Informatics,27.9,100,3
10007792,University of Exeter,12,Engineering,78.6,100,3.24
10007792,University of Exeter,14,Geography and Environmental Studies,60.98,100,3.46
10007792,University of Exeter,15,Archaeology,16,100,3.41
10007792,University of Exeter,16,Economics and Econometrics,37.7,100,3.19
10007792,University of Exeter,17,Business and Management Studies,79.1,100,3.46
10007792,University of Exeter,18,Law,52.92,100,3.24
10007792,University of Exeter,19,Politics and International Studies,58.25,100,3.33
10007792,University of Exeter,21,Sociology,49.6,100,3.16
10007792,University of Exeter,23,Education,38.38,100,3.08
10007792,University of Exeter,24,"Sport and Exercise Sciences, Leisure and Tourism",33.8,100,3.78
10007792,University of Exeter,25,Area Studies,24.09,100,3.46
10007792,University of Exeter,26,Modern Languages and Linguistics,44.8,100,3.21
10007792,University of Exeter,27,English Language and Literature,73.7,100,3.38
10007792,University of Exeter,28,History,60.05,100,3.48
10007792,University of Exeter,29,Classics,21.6,100,3.37
10007792,University of Exeter,31,Theology and Religious Studies,11.81,100,3.58
10007792,University of Exeter,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",16.66,100,3.35
10008640,Falmouth University,32,"Art and Design: History, Practice and Theory",64.3,35,3.17
10007794,University of Glasgow,1,Clinical Medicine,169.98,100,3.56
10007794,University of Glasgow,2,"Public Health, Health Services and Primary Care",28.4,100,3.46
10007794,University of Glasgow,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",19.8,100,3.48
10007794,University of Glasgow,4,"Psychology, Psychiatry and Neuroscience",49.5,100,3.51
10007794,University of Glasgow,5,Biological Sciences,34.29,100,3.39
10007794,University of Glasgow,6,"Agriculture, Food and Veterinary Sciences",64.85,100,3.51
10007794,University of Glasgow,7,Earth Systems and Environmental Sciences,43.32,100,3.09
10007794,University of Glasgow,8,Chemistry,41,100,3.34
10007794,University of Glasgow,9,Physics,58.15,100,3.5
10007794,University of Glasgow,10,Mathematical Sciences,59.93,100,3.66
10007794,University of Glasgow,11,Computer Science and Informatics,46.6,100,3.61
10007794,University of Glasgow,12,Engineering,119.24,100,3.46
10007794,University of Glasgow,13,"Architecture, Built Environment and Planning",26.3,100,3.37
10007794,University of Glasgow,14,Geography and Environmental Studies,16,100,3.52
10007794,University of Glasgow,15,Archaeology,12.2,100,3.33
10007794,University of Glasgow,17,Business and Management Studies,127.33,100,3.39
10007794,University of Glasgow,18,Law,58.5,100,3.49
10007794,University of Glasgow,19,Politics and International Studies,40.75,100,3.27
10007794,University of Glasgow,20,Social Work and Social Policy,51.49,100,3.46
10007794,University of Glasgow,23,Education,48.6,100,3.45
10007794,University of Glasgow,26,Modern Languages and Linguistics,37.8,100,2.64
10007794,University of Glasgow,26,Modern Languages and Linguistics,9.2,100,3.07
10007794,University of Glasgow,27,English Language and Literature,64,100,3.39
10007794,University of Glasgow,28,History,63.46,100,3.43
10007794,University of Glasgow,30,Philosophy,18.2,100,3.32
10007794,University of Glasgow,32,"Art and Design: History, Practice and Theory",24.8,100,3.53
10007794,University of Glasgow,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",13.3,100,3.44
10007794,University of Glasgow,34,"Communication, Cultural and Media Studies, Library and Information Management",30.7,100,3.53
10007762,Glasgow Caledonian University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",89.57,35,3.41
10007762,Glasgow Caledonian University,11,Computer Science and Informatics,14,25,2.42
10007762,Glasgow Caledonian University,12,Engineering,28,60,2.33
10007762,Glasgow Caledonian University,13,"Architecture, Built Environment and Planning",24.8,40,2.89
10007762,Glasgow Caledonian University,17,Business and Management Studies,23.4,20,2.67
10007762,Glasgow Caledonian University,20,Social Work and Social Policy,18.5,45,2.79
10007762,Glasgow Caledonian University,23,Education,5.1,25,2.22
10007762,Glasgow Caledonian University,28,History,5,100,2.33
10007762,Glasgow Caledonian University,34,"Communication, Cultural and Media Studies, Library and Information Management",8.4,55,3
10002681,Glasgow School of Art,32,"Art and Design: History, Practice and Theory",49.4,35,3.23
10007145,University of Gloucestershire,4,"Psychology, Psychiatry and Neuroscience",12,100,1.55
10007145,University of Gloucestershire,12,Engineering,9.5,90,1.87
10007145,University of Gloucestershire,13,"Architecture, Built Environment and Planning",17.8,95,2.6
10007145,University of Gloucestershire,14,Geography and Environmental Studies,12.4,100,2.58
10007145,University of Gloucestershire,17,Business and Management Studies,7.4,95,2.17
10007145,University of Gloucestershire,21,Sociology,7.6,100,2.53
10007145,University of Gloucestershire,23,Education,8,100,2.32
10007145,University of Gloucestershire,24,"Sport and Exercise Sciences, Leisure and Tourism",15.2,100,2.75
10007145,University of Gloucestershire,27,English Language and Literature,9.9,100,2.67
10007145,University of Gloucestershire,28,History,4.2,100,1.97
10007145,University of Gloucestershire,31,Theology and Religious Studies,4.6,100,2.37
10007145,University of Gloucestershire,32,"Art and Design: History, Practice and Theory",7.8,100,3.09
10007145,University of Gloucestershire,34,"Communication, Cultural and Media Studies, Library and Information Management",10.6,100,2.69
10007833,Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,11,Computer Science and Informatics,3.5,30,1.67
10007833,Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,12,Engineering,8.7,35,2.38
10007833,Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,20,Social Work and Social Policy,6.87,45,2.38
10007833,Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,32,"Art and Design: History, Practice and Theory",3.3,30,1.83
10002718,Goldsmiths' College,4,"Psychology, Psychiatry and Neuroscience",34,100,3.01
10002718,Goldsmiths' College,11,Computer Science and Informatics,32.55,100,2.85
10002718,Goldsmiths' College,17,Business and Management Studies,27,100,2.79
10002718,Goldsmiths' College,19,Politics and International Studies,19.4,100,2.85
10002718,Goldsmiths' College,20,Social Work and Social Policy,16.6,100,2.93
10002718,Goldsmiths' College,21,Sociology,45.1,100,3.25
10002718,Goldsmiths' College,22,Anthropology and Development Studies,21,100,3.24
10002718,Goldsmiths' College,23,Education,18.8,100,2.53
10002718,Goldsmiths' College,27,English Language and Literature,33.55,100,3.18
10002718,Goldsmiths' College,28,History,15.5,100,3.02
10002718,Goldsmiths' College,32,"Art and Design: History, Practice and Theory",75.9,100,3.32
10002718,Goldsmiths' College,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",31.35,100,3.19
10002718,Goldsmiths' College,34,"Communication, Cultural and Media Studies, Library and Information Management",29.2,100,3.59
10002718,Goldsmiths' College,34,"Communication, Cultural and Media Studies, Library and Information Management",15.32,100,2.89
10007146,University of Greenwich,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",1,100,3.05
10007146,University of Greenwich,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",53.6,65,2.95
10007146,University of Greenwich,6,"Agriculture, Food and Veterinary Sciences",47.03,80,3.15
10007146,University of Greenwich,8,Chemistry,17.2,60,2.91
10007146,University of Greenwich,11,Computer Science and Informatics,18.8,35,2.68
10007146,University of Greenwich,12,Engineering,56.3,65,2.9
10007146,University of Greenwich,17,Business and Management Studies,84.1,55,2.8
10007146,University of Greenwich,18,Law,17,50,2.79
10007146,University of Greenwich,20,Social Work and Social Policy,18,75,2.55
10007146,University of Greenwich,22,Anthropology and Development Studies,23.3,75,2.96
10007146,University of Greenwich,27,English Language and Literature,13.85,55,2.7
10007146,University of Greenwich,28,History,6.5,70,2.56
10007146,University of Greenwich,32,"Art and Design: History, Practice and Theory",30.2,55,2.71
10007825,Guildhall School of Music & Drama,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",18.99,100,3.28
10040812,Harper Adams University,6,"Agriculture, Food and Veterinary Sciences",42.55,80,2.61
10080811,Hartpury University,24,"Sport and Exercise Sciences, Leisure and Tourism",8.6,100,2.36
10007764,Heriot-Watt University,4,"Psychology, Psychiatry and Neuroscience",13.1,100,2.41
10007764,Heriot-Watt University,7,Earth Systems and Environmental Sciences,34.44,100,2.93
10007764,Heriot-Watt University,8,Chemistry,39.69,100,2.95
10007764,Heriot-Watt University,9,Physics,21,100,3.52
10007764,Heriot-Watt University,10,Mathematical Sciences,54.1,100,3.52
10007764,Heriot-Watt University,11,Computer Science and Informatics,31.7,100,3.14
10007764,Heriot-Watt University,12,Engineering,134.9,100,3.38
10007764,Heriot-Watt University,13,"Architecture, Built Environment and Planning",30.6,100,3.38
10007764,Heriot-Watt University,17,Business and Management Studies,33.9,100,3.02
10007764,Heriot-Watt University,25,Area Studies,18.7,100,2.93
10007764,Heriot-Watt University,32,"Art and Design: History, Practice and Theory",10.29,100,2.86
10007147,University of Hertfordshire,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",75.91,30,3.21
10007147,University of Hertfordshire,4,"Psychology, Psychiatry and Neuroscience",18.9,50,2.89
10007147,University of Hertfordshire,6,"Agriculture, Food and Veterinary Sciences",18.97,85,3.1
10007147,University of Hertfordshire,9,Physics,42,80,3.18
10007147,University of Hertfordshire,11,Computer Science and Informatics,31.21,45,3.15
10007147,University of Hertfordshire,12,Engineering,34.8,45,2.96
10007147,University of Hertfordshire,17,Business and Management Studies,26.9,15,2.79
10007147,University of Hertfordshire,23,Education,14.7,25,2.24
10007147,University of Hertfordshire,27,English Language and Literature,13.8,65,3.12
10007147,University of Hertfordshire,28,History,14,90,3.18
10007147,University of Hertfordshire,30,Philosophy,11.2,100,2.94
10007147,University of Hertfordshire,32,"Art and Design: History, Practice and Theory",18.7,40,2.71
10007114,University of the Highlands and Islands,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",23.6,105,2.98
10007114,University of the Highlands and Islands,7,Earth Systems and Environmental Sciences,42.22,,3.16
10007114,University of the Highlands and Islands,15,Archaeology,9.65,965,3.22
10007114,University of the Highlands and Islands,23,Education,9.64,605,1.63
10007114,University of the Highlands and Islands,25,Area Studies,18.03,1290,3.14
10007114,University of the Highlands and Islands,26,Modern Languages and Linguistics,6,600,2.96
10007114,University of the Highlands and Islands,28,History,7.3,110,2.65
10007148,The University of Huddersfield,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",52.3,45,2.66
10007148,The University of Huddersfield,4,"Psychology, Psychiatry and Neuroscience",31.8,95,2.4
10007148,The University of Huddersfield,5,Biological Sciences,29.8,85,2.69
10007148,The University of Huddersfield,8,Chemistry,27,90,2.5
10007148,The University of Huddersfield,11,Computer Science and Informatics,27.2,85,2.74
10007148,The University of Huddersfield,12,Engineering,84.7,90,2.94
10007148,The University of Huddersfield,13,"Architecture, Built Environment and Planning",16.6,65,2.91
10007148,The University of Huddersfield,17,Business and Management Studies,85.6,75,2.64
10007148,The University of Huddersfield,18,Law,12,55,2.1
10007148,The University of Huddersfield,20,Social Work and Social Policy,40.5,65,3.08
10007148,The University of Huddersfield,23,Education,24.7,45,2.81
10007148,The University of Huddersfield,24,"Sport and Exercise Sciences, Leisure and Tourism",7,50,2.62
10007148,The University of Huddersfield,26,Modern Languages and Linguistics,9,100,2.84
10007148,The University of Huddersfield,27,English Language and Literature,11.9,95,3.42
10007148,The University of Huddersfield,28,History,12.5,100,2.94
10007148,The University of Huddersfield,32,"Art and Design: History, Practice and Theory",29.2,45,2.76
10007148,The University of Huddersfield,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",30.35,95,3.56
10007148,The University of Huddersfield,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",9,100,2.46
10007148,The University of Huddersfield,34,"Communication, Cultural and Media Studies, Library and Information Management",11,80,3.27
10007149,The University of Hull,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",60.17,100,3.3
